AAPL,Apple Inc.,0000320193
MSFT,Microsoft Corporation,0000789019
AMZN,Amazon.com Inc.,0001018724
NVDA,NVIDIA Corporation,0001045810
META,Meta Platforms Inc.,0001326801
GOOGL,Alphabet Inc.,0001652044
TSLA,Tesla Inc.,0001318605
AVGO,Broadcom Inc.,0001730168
COST,Costco Wholesale Corporation,0000909832
NFLX,Netflix Inc.,0001065280
AMD,Advanced Micro Devices Inc.,0000002488
AMAT,Applied Materials Inc.,0000006951
CSCO,Cisco Systems Inc.,0000858877
QCOM,Qualcomm Incorporated,0000804328
INTU,Intuit Inc.,0000896878
CMCSA,Comcast Corporation,0001166691
TMUS,T-Mobile US Inc.,0001283699
TXN,Texas Instruments Incorporated,0000097476
ADBE,Adobe Inc.,0000796343
PANW,Palo Alto Networks Inc.,0001327567
AMGN,Amgen Inc.,0000318154
SBUX,Starbucks Corporation,0000829224
ISRG,Intuitive Surgical Inc.,0001035267
MDLZ,Mondelez International Inc.,0001103982
GILD,Gilead Sciences Inc.,0000882095
REGN,Regeneron Pharmaceuticals Inc.,0000872589
VRTX,Vertex Pharmaceuticals Incorporated,0000875320
MU,Micron Technology Inc.,0000723125
